Name,Code,Control code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number,Author
126,L_1,,,339458.782,5626494.486,0.000,,-101.27668646,50.76797419,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
127,L_1,,,339459.071,5626492.168,0.000,,-101.27668137,50.76795344,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
128,L_1,,,339459.417,5626489.230,0.000,,-101.27667518,50.76792714,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
129,L_1,,,339459.610,5626487.527,0.000,,-101.27667170,50.76791189,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
130,L_1,,,339459.861,5626485.205,0.000,,-101.27666713,50.76789109,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
131,L_1,,,339460.099,5626482.881,0.000,,-101.27666274,50.76787028,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
132,L_1,,,339460.325,5626480.556,0.000,,-101.27665852,50.76784945,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
133,L_1,,,339460.539,5626478.230,0.000,,-101.27665448,50.76782861,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
134,L_1,,,339460.740,5626475.903,0.000,,-101.27665061,50.76780775,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
135,L_1,,,339460.929,5626473.574,0.000,,-101.27664692,50.76778688,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
136,L_1,,,339461.105,5626471.245,0.000,,-101.27664341,50.76776600,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
137,L_1,,,339461.269,5626468.915,0.000,,-101.27664007,50.76774510,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
138,L_1,,,339461.420,5626466.584,0.000,,-101.27663691,50.76772420,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
139,L_1,,,339461.559,5626464.252,0.000,,-101.27663392,50.76770328,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
140,L_1,,,339461.686,5626461.919,0.000,,-101.27663112,50.76768236,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
141,L_1,,,339461.808,5626459.385,0.000,,-101.27662827,50.76765962,0.000,Local,,,,,,m,,,,,,,,,,,,,,,,NAD83(CSRS) / UTM zone 14N,,,,,,,,
